,author,published_at,updated_at,like_count,text
0,@dannyboyedits6886,2025-03-12T07:57:23Z,2025-03-12T07:57:23Z,0,Thank you for showing what is hidden in Kenya right now ❤️🙏💯
1,@authorviviannehillary,2025-03-12T07:11:22Z,2025-03-12T07:11:22Z,0,"<a href=""https://www.youtube.com/watch?v=ZSIA7ZB9i00&amp;t=2764"">46:04</a> He knows his future plans in politics is dead. No one in their right mind even the kikuyus no one would put ichungwa anywhere close to a political seat. His hands hold fhe blood of our children he will have to answer it in court"
2,@authorviviannehillary,2025-03-12T07:09:39Z,2025-03-12T07:09:39Z,0,"<a href=""https://www.youtube.com/watch?v=ZSIA7ZB9i00&amp;t=2690"">44:50</a> you and your government are kidnapping this children. Why would Gachagua kidnap a person drawing cartoons about Ruto. Why would he give two cents for that. Why would the disappearing children be linked to Ruto and his government"
3,@authorviviannehillary,2025-03-12T07:07:41Z,2025-03-12T07:07:41Z,0,"<a href=""https://www.youtube.com/watch?v=ZSIA7ZB9i00&amp;t=2458"">40:58</a> IPOA is a waste of time, there work is filling cases not taking them to court, they promise but they never work on it and when asked why, they have excuses, oh the police are  refusing to hand over ballistic reports or the police are refusing to hand over the guilty party."
4,@authorviviannehillary,2025-03-12T07:02:50Z,2025-03-12T07:02:50Z,0,"<a href=""https://www.youtube.com/watch?v=ZSIA7ZB9i00&amp;t=2357"">39:17</a> who will pay an 80000 fine when you can pay 150 bribe, ichungwa you have been paying bribes to get to where you are stop lying. The traffic police officers of kenya they demand for bribes whether you are wrong or right."
5,@authorviviannehillary,2025-03-12T06:56:42Z,2025-03-12T06:56:42Z,0,"<a href=""https://www.youtube.com/watch?v=ZSIA7ZB9i00&amp;t=1982"">33:02</a> Yet the cost of living is still high, the production he claims is no where to be seen, <a href=""https://www.youtube.com/watch?v=ZSIA7ZB9i00&amp;t=2021"">33:41</a> he is lying the industries are dead. The sugar industry is dead. <a href=""https://www.youtube.com/watch?v=ZSIA7ZB9i00&amp;t=2050"">34:10</a> Ruto needs to be held in a maximum prison in Russia"
6,@authorviviannehillary,2025-03-12T06:50:29Z,2025-03-12T06:50:29Z,0,"<a href=""https://www.youtube.com/watch?v=ZSIA7ZB9i00&amp;t=1587"">26:27</a>  you want a single case, explain how you git obese in two years, how are you riding choppers when all you owned was a two cars, how your wife and daughter were given jobs as ambassadors of south africa and many others that we chose to mention. Plus Ruto was a chicken farmer and now 😂😂 the man is drinking on the same table as Uhuru the king of generational wealth."
7,@authorviviannehillary,2025-03-12T06:29:34Z,2025-03-12T06:29:34Z,0,"Our children are still missing, some just died this sunday during a peaceful demonstrations Ruto said and promised mambo ni matatu, there are three things either you leave kenya, killed or fired. Children are murdered and claimed to be thieves and murderers, the police are working hard for the devil no one is protecting the children, the nation. This government has made parents bury their own children. Police are being investigated, prosecuted and released. Al Jazeera please shed light please i beg of you. Have a documentary to shed light."
8,@authorviviannehillary,2025-03-12T06:18:09Z,2025-03-12T06:18:09Z,0,"Everything that comes out of kimani ichungwa is a lie, A LIE, MAJORITY LEADER OF WHERE? HE IS THE MINORITY LEADER!!! CLOWN 🤡"
9,@big_brayo,2025-03-12T04:48:10Z,2025-03-12T04:48:10Z,1,This Moses Lagat guy is dishonest😂😂😂
10,@k_man254,2025-03-12T01:41:06Z,2025-03-12T01:41:06Z,0,Na nikama tunakula GMO😮
11,@Claudinefit,2025-03-11T23:42:25Z,2025-03-11T23:42:25Z,0,All in all Ruto must go
